Epoch,Train Loss,Validation Loss
1,0.9666468948125839,0.8311665058135986
2,0.6944777742028236,0.6000340410641262
3,0.435415112413466,0.34186229961259024
4,0.2838616231456399,0.29754092012132916
5,0.24803396174684167,0.28061763090746744
6,0.22756797121837735,0.284843772649765
7,0.20906737353652716,0.25474695222718374
8,0.18888360913842916,0.22742068554673875
9,0.17386127589270473,0.22231796383857727
10,0.1631108527071774,0.22291019558906555
11,0.14872036268934608,0.2117146956069129
12,0.14508787193335593,0.20775126346520015
13,0.14027128624729812,0.2843721977302006
14,0.1383250702638179,0.19587075923170363
15,0.13477534637786448,0.19705830727304732
16,0.12721585994586349,0.20761345965521677
17,0.12910535326227546,0.20547546659197127
18,0.11897196504287422,0.18541113819394792
19,0.11900843540206552,0.1852806487253734
20,0.116266630589962,0.18602163451058523
21,0.11399239348247647,0.1871103665658406
22,0.11426574736833572,0.18717514617102488
23,0.11281870026141405,0.18573880621365138
24,0.11267602373845875,0.18552851464067185
25,0.11273111309856176,0.18594019540718623
26,0.11133097647689283,0.1862668458904539
27,0.11129306489601731,0.1856190711259842
28,0.1119481548666954,0.1852808083806719
29,0.11391875124536455,0.1848927480833871
30,0.11269523808732629,0.18499551500592912
31,0.11185396439395845,0.18489137079034532
32,0.11297974432818592,0.18502817622252873
33,0.11256170948036015,0.18544662424496242
34,0.11081353947520256,0.18491676875523158
35,0.11151404632255435,0.1850610226392746
36,0.11150763370096684,0.18503166096551077
37,0.11168907699175179,0.18510178370135172
38,0.11346782417967916,0.18503971185003007
39,0.11131424107588828,0.1851616778544017
40,0.11349603720009327,0.18521002573626383
41,0.11189747485332191,0.18486132792064122
42,0.1129486383870244,0.18527589099747793
43,0.11066500330343843,0.18528380138533457
44,0.11215359601192176,0.18490787276199885
45,0.11240828759036958,0.18483065494469234
46,0.11178851523436606,0.18555835953780583
47,0.11114642769098282,0.18504818209580012
48,0.1130551123060286,0.1852722465991974
49,0.11132874735631049,0.1846889214856284
50,0.11237352550961077,0.1853238961526326
